TestName,ParameterName,ResultTypeName
Complete Haemogram ( CBC ),Eosinophils Count,Numeric
Complete Haemogram ( CBC ),Granulocyte Count,Numeric
Complete Haemogram ( CBC ),Granulocytes,Numeric
Complete Haemogram ( CBC ),Haemoglobin,Numeric
Complete Haemogram ( CBC ),Hct,Numeric
Complete Haemogram ( CBC ),LUC,Numeric
Complete Haemogram ( CBC ),Lymphocytes,Numeric
Complete Haemogram ( CBC ),Lymphocytes Count,Numeric
Complete Haemogram ( CBC ),MCH,Numeric
Complete Haemogram ( CBC ),MCHC,Numeric
Complete Haemogram ( CBC ),MCV,Numeric
Complete Haemogram ( CBC ),Metamylocyte,Numeric
Complete Haemogram ( CBC ),Monocytes,Numeric
Complete Haemogram ( CBC ),Monocytes Count,Numeric
Complete Haemogram ( CBC ),MPV,Numeric
Complete Haemogram ( CBC ),Myelocyte,Numeric
Complete Haemogram ( CBC ),Neutrophils,Numeric
Complete Haemogram ( CBC ),Neutrophils Count,Numeric
Complete Haemogram ( CBC ),NRBC / 100 WBC,SingleLine Text
Complete Haemogram ( CBC ),Others,MultiLine Text
Complete Haemogram ( CBC ),Platelet,Numeric
Complete Haemogram ( CBC ),Promyelocyte,Numeric
Complete Haemogram ( CBC ),RBC Count,Numeric
Complete Haemogram ( CBC ),RDW,Numeric
Complete Haemogram ( CBC ),Reactive Lymphocytes,List Of Choices
Complete Haemogram ( CBC ),TC,Numeric
Complete Haemogram ( CBC ),Toxic Granulation,List Of Choices
Comprehensive Acute Leukemia Immunophenotyping Panel (aims),Result,List Of Choices
Cortisol,Cortisol,Numeric
CORTISOL  A M,Cortisol,Numeric
Cortisol (HDDS),Cortisol HDDS,Numeric
Cortisol (LDDS),Cortisol  (LDDS),Numeric
Cortisol Midnight,Cortisol 11pm,Numeric
Cortisol PM,Cortisol PM,Numeric
Cortosol ( LDDS ),Cortisol,Numeric
CPK,CPK,Numeric
Creatinine (Serum ),Creatinine,Numeric
Creatinine Clearance,Creatinine,Numeric
Creatinine Clearance,Creatinine Clearance,Numeric
Creatinine Clearance,GFR,SingleLine Text
Creatinine Clearance,Urine Creatinine,Numeric
Cross match Transplant CDC,A:G Ratio,Numeric
Crossmatch Transplant Final,A:G Ratio,Numeric
CRP  C Reactive Protein (Quantitative),CRP,Numeric
CRP (Qualitative ),CRP,Numeric
Cryoglobulins,Cryoglobulins,List Of Choices
Cryptococcus Antigen detection,Result,Numeric
"CSF - Protein , Sugar , Chloride",CSF Chloride,Numeric
"CSF - Protein , Sugar , Chloride",CSF Protein,Numeric
"CSF - Protein , Sugar , Chloride",CSF Sugar,Numeric
CSF AFB Smear,Observation,List Of Choices
CSF AFB Smear,Result,SingleLine Text
"CSF Analysis ( TLC , DLC , Sugar , Protein )",CSF,SubHeading
"CSF Analysis ( TLC , DLC , Sugar , Protein )",CSF Chloride,Numeric
"CSF Analysis ( TLC , DLC , Sugar , Protein )",CSF Protein,Numeric
"CSF Analysis ( TLC , DLC , Sugar , Protein )",CSF Sugar,Numeric
"CSF Analysis ( TLC , DLC , Sugar , Protein )",CSF Total Count,Numeric
"CSF Analysis ( TLC , DLC , Sugar , Protein )",Eosinophils,Numeric
"CSF Analysis ( TLC , DLC , Sugar , Protein )",Lymphocytes,Numeric
"CSF Analysis ( TLC , DLC , Sugar , Protein )",Neutrophils,Numeric
"CSF Analysis ( TLC , DLC , Sugar , Protein )",Others,MultiLine Text
"CSF Analysis ( TLC , DLC , Sugar , Protein )",RBC,Numeric
CSF Chloride,CSF Chloride,Numeric
CSF Cytology,Observation,Template
CSF DC,Lymphocytes,Numeric
CSF DC,Neutrophils,Numeric
CSF DC,Others,MultiLine Text
CSF Paraneoplastic Panel (O),Result,Numeric
CSF Protein,CSF Protein,Numeric
CSF RBC Count,RBC Count,Numeric
CSF Sugar,CSF Sugar,Numeric
CSF TC,CSF Total Count,Numeric
CSF TC,Others,MultiLine Text
CSF TC,RBC,Numeric
CSF TC & DC,Appearance,List Of Choices
CSF TC & DC,Atypical Cells,List Of Choices
CSF TC & DC,Celll Count,SubHeading
CSF TC & DC,Colour,List Of Choices
CSF TC & DC,CSF,SubHeading
CSF TC & DC,Differential Count,SubHeading
CSF TC & DC,Eosinophils,Numeric
CSF TC & DC,Lymphocytes,Numeric
CSF TC & DC,Neutrophils,Numeric
CSF TC & DC,Others,MultiLine Text
CSF TC & DC,Psysical Examination,SubHeading
CSF TC & DC,RBC Count,Numeric
CSF TC & DC,TC ( WBC ),SingleLine Text
CSF TC & DC,Volume,Numeric
Culture & Sensitivity - (Automated Anaerobic),Anaerbic Culture,SubHeading
Culture & Sensitivity - (Automated Anaerobic),Result,List Of Choices
Culture & Sensitivity - (Automated) Blood (AEROBIC),Comments,MultiLine Text
Culture & Sensitivity - (Automated) Blood (AEROBIC),Culture,Culture
Culture & Sensitivity - (Automated) Blood (AEROBIC),Culture & Sensitivity - (Automated) Blood,SubHeading
Culture & Sensitivity - (Automated) Blood (AEROBIC),Gram Stain,List Of Choices
Culture & Sensitivity - (Automated) Blood (AEROBIC),Gram Stain,List Of Choices
Culture & Sensitivity - (Automated) Blood (AEROBIC),Observation,List Of Choices
Culture & Sensitivity - (Automated) Blood (AEROBIC),Sample,SingleLine Text
Culture & Sensitivity - (Automated) Blood (AEROBIC),Sample,SingleLine Text
Culture & Sensitivity - (Automated) Blood (AEROBIC),Site,SingleLine Text
Culture & Sensitivity - (Automated) Blood (AEROBIC),Site,SingleLine Text
Culture & sensitivity - (Automated) Body Fluids,Culture,Culture
Culture & sensitivity - (Automated) Body Fluids,Culture & sensitivity - (Automated) Body Fluids,SubHeading
Culture & sensitivity - (Automated) Body Fluids,Gram Stain,List Of Choices
Culture & sensitivity - (Automated) Body Fluids,Gram Stain,List Of Choices
Culture & sensitivity - (Automated) Body Fluids,Sample,SingleLine Text
Culture & sensitivity - (Automated) Body Fluids,Sample,SingleLine Text
Culture & sensitivity - (Automated) Body Fluids,Site,SingleLine Text
Culture & sensitivity - (Automated) Body Fluids,Site,SingleLine Text
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Culture & Sensitivity - Body Fluid (Automated VITEK 2),SubHeading
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Body Fluid (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Colony Count,List Of Choices
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Colony Count,List Of Choices
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),SubHeading
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Bone Marrow Fluid  (Automated VITEK 2),Site,SingleLine Text
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Culture,Culture
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)","Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",SubHeading
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Gram stain,MultiLine Text
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Gram stain,MultiLine Text
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Observation,List Of Choices
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Sample,SingleLine Text
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Sample,SingleLine Text
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Site,SingleLine Text
"Culture & Sensitivity - Bronchoalveolar Lavage (BAL), (Automated VITEK 2)",Site,SingleLine Text
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Colony Count,List Of Choices
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Colony Count,List Of Choices
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Culture & Sensitivity - Catheter Tip (Automated VITEK 2),SubHeading
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Catheter Tip (Automated VITEK 2),Site,SingleLine Text
Culture & sensitivity - Central line (Automated VITEK 2),Comments,MultiLine Text
Culture & sensitivity - Central line (Automated VITEK 2),Culture,Culture
Culture & sensitivity - Central line (Automated VITEK 2),Culture & sensitivity - Central line (Automated VITEK 2),SubHeading
Culture & sensitivity - Central line (Automated VITEK 2),Gram Stain,List Of Choices
Culture & sensitivity - Central line (Automated VITEK 2),Gram Stain,List Of Choices
Culture & sensitivity - Central line (Automated VITEK 2),Observation,List Of Choices
Culture & sensitivity - Central line (Automated VITEK 2),Sample,SingleLine Text
Culture & sensitivity - Central line (Automated VITEK 2),Sample,SingleLine Text
Culture & sensitivity - Central line (Automated VITEK 2),Site,SingleLine Text
Culture & sensitivity - Central line (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - CSF (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - CSF (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - CSF (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - CSF (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - CSF (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - CSF (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - CSF (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - CSF (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Culture & Sensitivity - Ear Swab (Automated VITEK 2),SubHeading
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Ear Swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),SubHeading
Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Endotracheal Secretions (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Inguinal (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Inguinal (Automated VITEK 2),Culture & Sensitivity - Inguinal (Automated VITEK 2),SubHeading
Culture & Sensitivity - Inguinal (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Inguinal (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Inguinal (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Inguinal (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Inguinal (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Neck Line (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity - Neck Line (Automated VITEK 2),Culture & Sensitivity - Neck Line (Automated VITEK 2),SubHeading
Culture & Sensitivity - Neck Line (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Neck Line (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Pericardial Fluid (Automated VITEK 2),Culture & Sensitivity - Pericardial Fluid (Automated VITEK 2),SubHeading
Culture & Sensitivity - Pericardial Fluid (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Pericardial Fluid (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Pericardial Fluid (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Peritoneal Fluid (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity - Peritoneal Fluid (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Peritoneal Fluid (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Placental swab (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Placental swab (Automated VITEK 2),Culture & Sensitivity - Placental swab (Automated VITEK 2),SubHeading
Culture & Sensitivity - Placental swab (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Placental swab (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Placental swab (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Placental swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Placental swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Pus (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity - Pus (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Pus (Automated VITEK 2),Culture & Sensitivity - Pus (Automated VITEK 2),SubHeading
Culture & Sensitivity - Pus (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Pus (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Pus (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Pus (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Pus (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Pus (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Pus (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Semen (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Semen (Automated VITEK 2),Culture & Sensitivity - Semen (Automated VITEK 2),SubHeading
Culture & Sensitivity - Semen (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Semen (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Semen (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Suction Tip (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity - Suction Tip (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Suction Tip (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Swabs (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Swabs (Automated VITEK 2),Culture & Sensitivity - Swabs (Automated VITEK 2),SubHeading
Culture & Sensitivity - Swabs (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Swabs (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Swabs (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - Swabs (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Swabs (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Swabs (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Swabs (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Swabs (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Throat Swab (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Throat Swab (Automated VITEK 2),Culture & Sensitivity - Throat Swab (Automated VITEK 2),SubHeading
Culture & Sensitivity - Throat Swab (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Throat Swab (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Throat Swab (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Tissue (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Tissue (Automated VITEK 2),Culture & Sensitivity - Tissue (Automated VITEK 2),SubHeading
Culture & Sensitivity - Tissue (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Tissue (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Tissue (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Tissue (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Tissue (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Tissue (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Tissue (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Umbilicus (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity - Umbilicus (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Umbilicus (Automated VITEK 2),Culture & Sensitivity - Umbilicus (Automated VITEK 2),SubHeading
Culture & Sensitivity - Umbilicus (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Umbilicus (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Umbilicus (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Urine (Automated VITEK 2),Colony Count,List Of Choices
Culture & Sensitivity - Urine (Automated VITEK 2),Colony Count,List Of Choices
Culture & Sensitivity - Urine (Automated VITEK 2),Comments,MultiLine Text
Culture & Sensitivity - Urine (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Urine (Automated VITEK 2),Culture & Sensitivity - Urine (Automated VITEK 2),SubHeading
Culture & Sensitivity - Urine (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Urine (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Urine (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Urine (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Urine (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Urine (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Urine (Automated VITEK 2),Wet mount,MultiLine Text
Culture & Sensitivity - Urine (Automated VITEK 2),Wet mount,MultiLine Text
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Comments,MultiLine Text
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),SubHeading
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - Vaginal Swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - wound Swab (Automated VITEK 2),Culture,Culture
Culture & Sensitivity - wound Swab (Automated VITEK 2),Culture & Sensitivity - wound Swab (Automated VITEK 2),SubHeading
Culture & Sensitivity - wound Swab (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity - wound Swab (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity - wound Swab (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity - wound Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - wound Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity - wound Swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity - wound Swab (Automated VITEK 2),Site,SingleLine Text
Culture & sensitivity -Urethra pus (Automated VITEK 2),Culture,Culture
Culture & sensitivity -Urethra pus (Automated VITEK 2),Culture & sensitivity -Urethra pus (Automated VITEK 2),SubHeading
Culture & sensitivity -Urethra pus (Automated VITEK 2),Gram stain,MultiLine Text
Culture & sensitivity -Urethra pus (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & sensitivity -Urethra pus (Automated VITEK 2),Observation,List Of Choices
Culture & sensitivity -Urethra pus (Automated VITEK 2),Site,SingleLine Text
Culture & sensitivity -Urethra pus (Automated VITEK 2),Site,SingleLine Text
"Culture & Sensitivity, Conventional (Body fluids)",Result,SingleLine Text
"Culture & Sensitivity, Conventional Pus",Result,SingleLine Text
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Culture,Culture
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Culture & Sensitivity- Eye Swab (Automated VITEK 2),SubHeading
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity- Eye Swab (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity- Nasal Swab,Culture,Culture
Culture & Sensitivity- Nasal Swab,Gram Stain,SingleLine Text
Culture & Sensitivity- Nasal Swab,Gram Stain,SingleLine Text
Culture & Sensitivity- Nasal Swab,Observation,List Of Choices
Culture & Sensitivity- Nasal Swab,Observation,SingleLine Text
Culture & Sensitivity- Sputum (Automated VITEK 2),Culture,Culture
Culture & Sensitivity- Sputum (Automated VITEK 2),Culture & Sensitivity- Sputum (Automated VITEK 2),SubHeading
Culture & Sensitivity- Sputum (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity- Sputum (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity- Sputum (Automated VITEK 2),Gram stain,MultiLine Text
Culture & Sensitivity- Sputum (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity- Sputum (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity- Sputum (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity- Sputum (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity- Sputum (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity- Stool (Automated VITEK 2),Comment :-,Template
Culture & Sensitivity- Stool (Automated VITEK 2),Culture,Culture
Culture & Sensitivity- Stool (Automated VITEK 2),Culture & Sensitivity- Stool (Automated VITEK 2),SubHeading
Culture & Sensitivity- Stool (Automated VITEK 2),Gram Stain,List Of Choices
Culture & Sensitivity- Stool (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivity- Stool (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity- Stool (Automated VITEK 2),Sample,SingleLine Text
Culture & Sensitivity- Stool (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity- Stool (Automated VITEK 2),Site,SingleLine Text
Culture & Sensitivity- Synovial Fluid (Automated VITEK 2),Colony Count,Numeric
Culture & Sensitivity- Synovial Fluid (Automated VITEK 2),Gram Stain,SingleLine Text
Culture & Sensitivity- Synovial Fluid (Automated VITEK 2),Observation,List Of Choices
Culture & Sensitivy -Automated Blood (Anaerobic),Comments,MultiLine Text
Culture & Sensitivy -Automated Blood (Anaerobic),Culture,Culture
Culture & Sensitivy -Automated Blood (Anaerobic),Gram Stain,SingleLine Text
Culture & Sensitivy -Automated Blood (Anaerobic),Gram Stain,List Of Choices
Culture & Sensitivy -Automated Blood (Anaerobic),Observation,List Of Choices
Culture & Sensitivy -Automated Blood (Anaerobic),Sample,SingleLine Text
Culture & Sensitivy -Automated Blood (Anaerobic),Sample,SingleLine Text
Culture & Sensitivy -Automated Blood (Anaerobic),Site,SingleLine Text
Culture & Sensitivy -Automated Blood (Anaerobic),Site,SingleLine Text
"Culture AFB (Mycobacterium),Rapid (Automated Fluorescent,ICT)",Result,SingleLine Text
Culture for Fungi,A:G Ratio,Numeric
Culture for Fungi ( Serum ),A:G Ratio,Numeric
Culture Mold Antifungal Drug Sensitivity,Result,SingleLine Text
Cultured aerobic bacteria identification,Result,SingleLine Text
Cultured aerobic bacteria sensitivity,Result,SingleLine Text
"Cultured AFB (Mycobacterium)-Antitubercular Drug Sensitivity,Rapid (5 Drug Panel)",Result,SingleLine Text
Cultured AFB Mycobacterium other than tuberculosis(MOTT) drug sensitivity for rapid growers.,Result,SingleLine Text
Cyclosporin A,Result,Numeric
Cyst Aspiration,Impression,TextEditor
Cystic Fluid,Albumin,Numeric
Cystic Fluid,Chemical Examination,SubHeading
Cystic Fluid,Clarity,List Of Choices
Cystic Fluid,Clot,List Of Choices
Cystic Fluid,Colour,List Of Choices
Cystic Fluid,Differential Count,SubHeading
Cystic Fluid,Glucose 30 minutes,Numeric
Cystic Fluid,Lymphocytes,Numeric
Cystic Fluid,Microscopic Examination,SubHeading
Cystic Fluid,Neutrophils,Numeric
Cystic Fluid,Others,MultiLine Text
Cystic Fluid,Physical Examination,SubHeading
Cystic Fluid,Protein,Numeric
Cystic Fluid,RBC Count,Numeric
Cystic Fluid,Total Count,Numeric
Cystogram,Impression,TextEditor
Cytology,Observation,Template
"Cytomegalovirus (CMV) Antibodies Panel, IgG & IgM",Result,List Of Choices
Cytomegalovirus (CMV) detection qualitative (GENEPATH),Result,List Of Choices
Cytomegalovirus (CMV) quantitation (GENEPATH),Result,List Of Choices
"Cytomegalovirus (CMV), Qualitative PCR",Result,List Of Choices
Cytopath - Bronchial brush,Comment:,Template
Cytopath - Bronchial wash,Comment:,Template
Cytopath - CSF cytology,Comment:,Template
Cytopath - CSF Cytology (Cytospin),Comment:,Template
Cytopath - Fluid with Cell block,Comment:,Template
Cytopath - FNAC,Comment:,Template
Cytopath - FNAC Procedure with Reporting,Comment:,Template
