Diagnosis,ICD Code
Postprocedural hematoma of a circulatory system organ or structure following a circulatory system procedure,I9763
Postprocedural seroma of a circulatory system organ  or structure following a circulatory system procedure,I9764
Intraoperative cardiac functional disturbances,I977
Intraoperative cardiac arrest,I9771
Other intraoperative cardiac functional disturbances,I9779
"Other intraoperative and postprocedural complications and disorders of the circulatory system, not elsewhere classified",I978
Intraoperative cerebrovascular infarction,I9781
Postprocedural cerebrovascular infarction,I9782
"Other intraoperative complications of the circulatory system, not elsewhere classified",I9788
"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified",I9789
Other and unspecified disorders of circulatory system,I99
Acute nasopharyngitis [common cold],J00
Acute sinusitis,J01
Acute maxillary sinusitis,J010
Acute frontal sinusitis,J011
Acute ethmoidal sinusitis,J012
Acute sphenoidal sinusitis,J013
Acute pansinusitis,J014
Other acute sinusitis,J018
"Acute sinusitis, unspecified",J019
Acute pharyngitis,J02
Acute tonsillitis,J03
Streptococcal tonsillitis,J030
Acute tonsillitis due to other specified organisms,J038
"Acute tonsillitis, unspecified",J039
Acute laryngitis and tracheitis,J04
Acute tracheitis,J041
Acute laryngotracheitis,J042
"Supraglottitis, unspecified",J043
Acute obstructive laryngitis [croup] and epiglottitis,J05
Acute epiglottitis,J051
Acute upper respiratory infections of multiple and unspecified sites,J06
Influenza due to certain identified influenza viruses,J09
Influenza due to identified novel influenza A virus,J09X
Influenza due to other identified influenza virus,J10
Influenza due to other identified influenza virus with pneumonia,J100
Influenza due to other identified influenza virus with other respiratory manifestations,J101
Influenza due to other identified influenza virus with gastrointestinal manifestations,J102
Influenza due to other identified influenza virus with other manifestations,J108
Influenza due to unidentified influenza virus,J11
Influenza due to unidentified influenza virus with pneumonia,J110
Influenza due to unidentified influenza virus with other respiratory manifestations,J111
Influenza due to unidentified influenza virus with gastrointestinal manifestations,J112
Influenza due to unidentified influenza virus with other manifestations,J118
"Viral pneumonia, not elsewhere classified",J12
Other viral pneumonia,J128
"Viral pneumonia, unspecified",J129
Pneumonia due to Streptococcus pneumoniae,J13
Pneumonia due to Hemophilus influenzae,J14
"Bacterial pneumonia, not elsewhere classified",J15
Pneumonia due to staphylococcus,J152
Pneumonia due to staphylococcus aureus,J1521
Pneumonia due to other staphylococcus,J1529
"Pneumonia due to streptococcus, group B",J153
Pneumonia due to other streptococci,J154
Pneumonia due to Escherichia coli,J155
Pneumonia due to other Gram-negative bacteria,J156
Pneumonia due to Mycoplasma pneumoniae,J157
Pneumonia due to other specified bacteria,J158
Unspecified bacterial pneumonia,J159
"Pneumonia due to other infectious organisms, not elsewhere classified",J16
Pneumonia in diseases classified elsewhere,J17
"Pneumonia, unspecified organism",J18
Acute bronchitis,J20
Acute bronchiolitis,J21
Unspecified acute lower respiratory infection,J22
Vasomotor and allergic rhinitis,J30
Other allergic rhinitis,J308
"Allergic rhinitis, unspecified",J309
"Chronic rhinitis, nasopharyngitis and pharyngitis",J31
Chronic sinusitis,J32
Nasal polyp,J33
Other and unspecified disorders of nose and nasal sinuses,J34
Other specified disorders of nose and nasal sinuses,J348
Unspecified disorder of nose and nasal sinuses,J349
Chronic diseases of tonsils and adenoids,J35
Chronic tonsillitis and adenoiditis,J350
Hypertrophy of tonsils,J351
Hypertrophy of adenoids,J352
Hypertrophy of tonsils with hypertrophy of adenoids,J353
Other chronic diseases of tonsils and adenoids,J358
"Chronic disease of tonsils and adenoids, unspecified",J359
Peritonsillar abscess,J36
Chronic laryngitis and laryngotracheitis,J37
"Diseases of vocal cords and larynx, not elsewhere classified",J38
Paralysis of vocal cords and larynx,J380
Polyp of vocal cord and larynx,J381
Nodules of vocal cords,J382
Other diseases of vocal cords,J383
Edema of larynx,J384
Laryngeal spasm,J385
Stenosis of larynx,J386
Other diseases of larynx,J387
Other diseases of upper respiratory tract,J39
"Bronchitis, not specified as acute or chronic",J40
Simple and mucopurulent chronic bronchitis,J41
Unspecified chronic bronchitis,J42
Emphysema,J43
Other chronic obstructive pulmonary disease,J44
Asthma,J45
Mild intermittent asthma,J452
Mild persistent asthma,J453
Moderate persistent asthma,J454
Severe persistent asthma,J455
Other and unspecified asthma,J459
Unspecified asthma,J4590
Other asthma,J4599
Bronchiectasis,J47
Coalworker's pneumoconiosis,J60
Pneumoconiosis due to asbestos and other mineral fibers,J61
Pneumoconiosis due to dust containing silica,J62
Pneumoconiosis due to other inorganic dusts,J63
Unspecified pneumoconiosis,J64
Pneumoconiosis associated with tuberculosis,J65
Airway disease due to specific organic dust,J66
Hypersensitivity pneumonitis due to organic dust,J67
"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors",J68
Pneumonitis due to solids and liquids,J69
Respiratory conditions due to other external agents,J70
Acute respiratory distress syndrome,J80
Pulmonary edema,J81
"Pulmonary eosinophilia, not elsewhere classified",J82
Other interstitial pulmonary diseases,J84
Alveolar and parieto-alveolar conditions,J840
Other interstitial pulmonary diseases with fibrosis,J841
Idiopathic interstitial pneumonia,J8411
Other interstitial pulmonary diseases with fibrosis in diseases classified elsewhere,J8417
Lymphoid interstitial pneumonia,J842
Other specified interstitial pulmonary diseases,J848
Other interstitial  lung diseases of childhood,J8484
Other specified interstitial pulmonary diseases,J8489
"Interstitial pulmonary disease, unspecified",J849
Abscess of lung and mediastinum,J85
Pyothorax,J86
"Pleural effusion, not elsewhere classified",J90
Pleural effusion in conditions classified elsewhere,J91
Pleural plaque,J92
Pneumothorax and air leak,J93
Other spontaneous pneumothorax,J931
Other pneumothorax and air leak,J938
"Pneumothorax, unspecified",J939
Other pleural conditions,J94
"Intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",J95
Tracheostomy complications,J950
Acute pulmonary insufficiency following thoracic surgery,J951
Acute pulmonary insufficiency following nonthoracic surgery,J952
Chronic pulmonary insufficiency following surgery,J953
Chemical pneumonitis due to anesthesia,J954
Postprocedural subglottic stenosis,J955
Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating a procedure,J956
Accidental puncture and laceration of a respiratory system organ or structure during a procedure,J957
"Other intraoperative and postprocedural complications and disorders of respiratory system, not elsewhere classified",J958
Postprocedural pneumothorax and air leak,J9581
Postprocedural respiratory failure,J9582
Postprocedural hemorrhage of a respiratory system organ or structure following a procedure,J9583
Transfusion-related acute lung injury (TRALI),J9584
Complication of respirator [ventilator],J9585
Postprocedural hematoma and seroma of a respiratory system organ or structure following a procedure,J9586
"Other intraoperative complications of respiratory system, not elsewhere classified",J9588
"Other postprocedural complications and disorders of respiratory system, not elsewhere classified",J9589
"Respiratory failure, not elsewhere classified",J96
Acute respiratory failure,J960
Chronic respiratory failure,J961
Acute and chronic respiratory failure,J962
"Respiratory failure, unspecified",J969
Other respiratory disorders,J98
"Diseases of bronchus, not elsewhere classified",J980
Pulmonary collapse,J981
Interstitial emphysema,J982
Compensatory emphysema,J983
Other disorders of lung,J984
"Diseases of mediastinum, not elsewhere classified",J985
Disorders of diaphragm,J986
Other specified respiratory disorders,J988
"Respiratory disorder, unspecified",J989
Respiratory disorders in diseases classified elsewhere,J99
Disorders of tooth development and eruption,K00
Embedded and impacted teeth,K01
Dental caries,K02
Dental caries on pit and fissure surface,K025
Dental caries on smooth surface,K026
Dental root caries,K027
"Dental caries, unspecified",K029
Other diseases of hard tissues of teeth,K03
Other specified diseases of hard tissues of teeth,K038
"Disease of hard tissues of teeth, unspecified",K039
Diseases of pulp and periapical tissues,K04
Pulpitis,K040
Necrosis of pulp,K041
Pulp degeneration,K042
Abnormal hard tissue formation in pulp,K043
Acute apical periodontitis of pulpal origin,K044
Chronic apical periodontitis,K045
Periapical abscess with sinus,K046
Periapical abscess without sinus,K047
Radicular cyst,K048
Other and unspecified diseases of pulp and periapical tissues,K049
Gingivitis and periodontal diseases,K05
Acute gingivitis,K050
Chronic gingivitis,K051
Aggressive periodontitis,K052
"Aggressive periodontitis, localized",K0521
"Aggressive periodontitis, generalized",K0522
Chronic periodontitis,K053
"Chronic periodontitis, localized",K0531
"Chronic periodontitis, generalized",K0532
Periodontosis,K054
Other periodontal diseases,K055
"Periodontal disease, unspecified",K056
Other disorders of gingiva and edentulous alveolar ridge,K06
Gingival recession,K060
"Gingival recession, localized",K0601
"Gingival recession, generalized",K0602
Gingival enlargement,K061
Gingival and edentulous alveolar ridge lesions associated with trauma,K062
Horizontal alveolar bone loss,K063
Other specified disorders of gingiva and edentulous alveolar ridge,K068
"Disorder of gingiva and edentulous alveolar ridge, unspecified",K069
Other disorders of teeth and supporting structures,K08
Complete loss of teeth,K081
"Complete loss of teeth, unspecified cause",K0810
Complete loss of teeth due to trauma,K0811
Complete loss of teeth due to periodontal diseases,K0812
Complete loss of teeth due to caries,K0813
Complete loss of teeth due to other specified cause,K0819
Atrophy of edentulous alveolar ridge,K082
Retained dental root,K083
Partial loss of teeth,K084
"Partial loss of teeth, unspecified cause",K0840
Partial loss of teeth due to trauma,K0841
Partial loss of teeth due to periodontal diseases,K0842
Partial loss of teeth due to caries,K0843
Partial loss of teeth due to other specified cause,K0849
Unsatisfactory restoration of tooth,K085
Fractured dental restorative material,K0853
Contour of existing restoration of tooth biologically incompatible with oral health,K0854
Allergy to existing dental restorative material,K0855
Poor aesthetic of existing restoration of tooth,K0856
Other unsatisfactory restoration of tooth,K0859
Other specified disorders of teeth and supporting structures,K088
"Disorder of teeth and supporting structures, unspecified",K089
"Cysts of oral region, not elsewhere classified",K09
Diseases of salivary glands,K11
Sialoadenitis,K112
Abscess of salivary gland,K113
Fistula of salivary gland,K114
Sialolithiasis,K115
Mucocele of salivary gland,K116
Disturbances of salivary secretion,K117
Other diseases of salivary glands,K118
"Disease of salivary gland, unspecified",K119
Stomatitis and related lesions,K12
Oral mucositis (ulcerative),K123
Other diseases of lip and oral mucosa,K13
"Leukoplakia and other disturbances of oral epithelium, including tongue",K132
Hairy leukoplakia,K133
Granuloma and granuloma-like lesions of oral mucosa,K134
Oral submucous fibrosis,K135
Irritative hyperplasia of oral mucosa,K136
Other and unspecified lesions of oral mucosa,K137
Diseases of tongue,K14
Esophagitis,K20
Gastro-esophageal reflux disease,K21
Other diseases of esophagus,K22
Ulcer of esophagus,K221
Esophageal obstruction,K222
Perforation of esophagus,K223
Dyskinesia of esophagus,K224
"Diverticulum of esophagus, acquired",K225
Gastro-esophageal laceration-hemorrhage syndrome,K226
Barrett's esophagus,K227
Barrett's esophagus with dysplasia,K2271
Other specified diseases of esophagus,K228
"Disease of esophagus, unspecified",K229
Disorders of esophagus in diseases classified elsewhere,K23
Gastric ulcer,K25
Duodenal ulcer,K26
"Peptic ulcer, site unspecified",K27
Gastrojejunal ulcer,K28
Gastritis and duodenitis,K29
Acute gastritis,K290
Alcoholic gastritis,K292
Chronic superficial gastritis,K293
Chronic atrophic gastritis,K294
Unspecified chronic gastritis,K295
Other gastritis,K296
"Gastritis, unspecified",K297
Duodenitis,K298
"Gastroduodenitis, unspecified",K299
Functional dyspepsia,K30
Other diseases of stomach and duodenum,K31
Other specified diseases of stomach and duodenum,K318
Angiodysplasia of stomach and duodenum,K3181
Dieulafoy lesion (hemorrhagic) of stomach and duodenum,K3182
Achlorhydria,K3183
Gastroparesis,K3184
Other diseases of stomach and duodenum,K3189
"Disease of stomach and duodenum, unspecified",K319
Acute appendicitis,K35
Other and unspecified acute appendicitis,K358
Other appendicitis,K36
Unspecified appendicitis,K37
Other diseases of appendix,K38
Inguinal hernia,K40
"Bilateral inguinal hernia, with obstruction, without gangrene",K400
"Bilateral inguinal hernia, with gangrene",K401
"Bilateral inguinal hernia, without obstruction or gangrene",K402
"Unilateral inguinal hernia, with obstruction, without gangrene",K403
"Unilateral inguinal hernia, with gangrene",K404
"Unilateral inguinal hernia, without obstruction or gangrene",K409
Femoral hernia,K41
"Bilateral femoral hernia, with obstruction, without gangrene",K410
"Bilateral femoral hernia, with gangrene",K411
"Bilateral femoral hernia, without obstruction or gangrene",K412
"Unilateral femoral hernia, with obstruction, without gangrene",K413
"Unilateral femoral hernia, with gangrene",K414
"Unilateral femoral hernia, without obstruction or gangrene",K419
Umbilical hernia,K42
Ventral hernia,K43
Diaphragmatic hernia,K44
Other abdominal hernia,K45
Unspecified abdominal hernia,K46
Crohn's disease [regional enteritis],K50
Crohn's disease of small intestine,K500
Crohn's disease of small intestine with complications,K5001
Crohn's disease of large intestine,K501
Crohn's disease of large intestine with complications,K5011
Crohn's disease of both small and large intestine,K508
Crohn's disease of both small and large intestine with complications,K5081
"Crohn's disease, unspecified",K509
"Crohn's disease, unspecified, with complications",K5091
Ulcerative colitis,K51
Ulcerative (chronic) pancolitis,K510
Ulcerative (chronic) pancolitis with complications,K5101
Ulcerative (chronic) proctitis,K512
Ulcerative (chronic) proctitis with complications,K5121
Ulcerative (chronic) rectosigmoiditis,K513
Ulcerative (chronic) rectosigmoiditis with complications,K5131
Inflammatory polyps of colon,K514
Inflammatory polyps of colon with complications,K5141
Left sided colitis,K515
Left sided colitis with complications,K5151
Other ulcerative colitis,K518
Other ulcerative colitis with complications,K5181
"Ulcerative colitis, unspecified",K519
"Ulcerative colitis, unspecified, with complications",K5191
Other and unspecified noninfective gastroenteritis and colitis,K52
Allergic and dietetic gastroenteritis and colitis,K522
Indeterminate colitis,K523
Other specified noninfective gastroenteritis and colitis,K528
Microscopic colitis,K5283
Other specified noninfective gastroenteritis and colitis,K5289
"Noninfective gastroenteritis and colitis, unspecified",K529
Vascular disorders of intestine,K55
Acute vascular disorders of intestine,K550
Acute (reversible) ischemia of small intestine,K5501
Acute infarction of small intestine,K5502
Acute (reversible) ischemia of large intestine,K5503
Acute infarction of large intestine,K5504
"Acute (reversible) ischemia of intestine, part unspecified",K5505
"Acute infarction of intestine, part unspecified",K5506
Chronic vascular disorders of intestine,K551
Angiodysplasia of colon,K552
Necrotizing enterocolitis,K553
Other vascular disorders of intestine,K558
"Vascular disorder of intestine, unspecified",K559
Paralytic ileus and intestinal obstruction without hernia,K56
Other impaction of intestine,K564
Intestinal adhesions [bands] with obstruction (postinfection),K565
Other and unspecified intestinal obstruction,K566
Unspecified intestinal obstruction,K5660
Other intestinal obstruction,K5669
"Ileus, unspecified",K567
Diverticular disease of intestine,K57
Diverticulitis of small intestine with perforation and abscess,K570
Diverticular disease of small intestine without perforation or abscess,K571
Diverticulitis of large intestine with perforation and abscess,K572
Diverticular disease of large intestine without perforation or abscess,K573
Diverticulitis of both small and large intestine with perforation and abscess,K574
Diverticular disease of both small and large intestine without perforation or abscess,K575
"Diverticulitis of intestine, part unspecified, with perforation and abscess",K578
"Diverticular disease of intestine, part unspecified, without perforation or abscess",K579
Irritable bowel syndrome,K58
Other functional intestinal disorders,K59
Constipation,K590
Functional diarrhea,K591
"Neurogenic bowel, not elsewhere classified",K592
"Megacolon, not elsewhere classified",K593
Anal spasm,K594
Other specified functional intestinal disorders,K598
"Functional intestinal disorder, unspecified",K599
Fissure and fistula of anal and rectal regions,K60
Abscess of anal and rectal regions,K61
Other diseases of anus and rectum,K62
Other specified diseases of anus and rectum,K628
"Disease of anus and rectum, unspecified",K629
Other diseases of intestine,K63
Other specified diseases of intestine,K638
"Disease of intestine, unspecified",K639
Hemorrhoids and perianal venous thrombosis,K64
Peritonitis,K65
Other disorders of peritoneum,K66
Disorders of peritoneum in infectious diseases classified elsewhere,K67
Disorders of retroperitoneum,K68
Retroperitoneal abscess,K681
Other disorders of retroperitoneum,K689
Alcoholic liver disease,K70
Alcoholic hepatitis,K701
Alcoholic fibrosis and sclerosis of liver,K702
Alcoholic cirrhosis of liver,K703
Alcoholic hepatic failure,K704
"Alcoholic liver disease, unspecified",K709
Toxic liver disease,K71
Toxic liver disease with hepatic necrosis,K711
Toxic liver disease with acute hepatitis,K712
Toxic liver disease with chronic persistent hepatitis,K713
Toxic liver disease with chronic lobular hepatitis,K714
Toxic liver disease with chronic active hepatitis,K715
"Toxic liver disease with hepatitis, not elsewhere classified",K716
Toxic liver disease with fibrosis and cirrhosis of liver,K717
Toxic liver disease with other disorders of liver,K718
"Toxic liver disease, unspecified",K719
"Hepatic failure, not elsewhere classified",K72
Acute and subacute hepatic failure,K720
Chronic hepatic failure,K721
"Hepatic failure, unspecified",K729
"Chronic hepatitis, not elsewhere classified",K73
Fibrosis and cirrhosis of liver,K74
Other and unspecified cirrhosis of liver,K746
Other inflammatory liver diseases,K75
Other specified inflammatory liver diseases,K758
"Inflammatory liver disease, unspecified",K759
Other diseases of liver,K76
Other specified diseases of liver,K768
"Liver disease, unspecified",K769
Liver disorders in diseases classified elsewhere,K77
Cholelithiasis,K80
Calculus of gallbladder with acute cholecystitis,K800
Calculus of gallbladder with other cholecystitis,K801
Calculus of gallbladder without cholecystitis,K802
Calculus of bile duct with cholangitis,K803
Calculus of bile duct with cholecystitis,K804
Calculus of bile duct without cholangitis or cholecystitis,K805
Calculus of gallbladder and bile duct with cholecystitis,K806
Calculus of gallbladder and bile duct without cholecystitis,K807
Other cholelithiasis,K808
Cholecystitis,K81
Other diseases of gallbladder,K82
Other diseases of biliary tract,K83
Acute pancreatitis,K85
Idiopathic acute pancreatitis,K850
Biliary acute pancreatitis,K851
Alcohol induced acute pancreatitis,K852
Drug induced acute pancreatitis,K853
Other acute pancreatitis,K858
"Acute pancreatitis, unspecified",K859
Other diseases of pancreas,K86
Other specified diseases of pancreas,K868
"Disease of pancreas, unspecified",K869
"Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere",K87
Intestinal malabsorption,K90
Other malabsorption due to intolerance,K904
Other intestinal malabsorption,K908
"Intestinal malabsorption, unspecified",K909
"Intraoperative and postprocedural complications and disorders of digestive system, not elsewhere classified",K91
Postprocedural intestinal obstruction,K913
Postcholecystectomy syndrome,K915
Intraoperative hemorrhage and hematoma of a digestive system organ or structure complicating a procedure,K916
Accidental puncture and laceration of a digestive system organ or structure during a procedure,K917
Other intraoperative and postprocedural complications and disorders of digestive system,K918
Postprocedural hemorrhage of a digestive system organ or structure following a procedure,K9184
Complications of intestinal pouch,K9185
Retained cholelithiasis following cholecystectomy,K9186
Postprocedural hematoma and seroma of a digestive system organ or structure following a procedure,K9187
Other postprocedural complications and disorders of digestive system,K9189
Other diseases of digestive system,K92
Other specified diseases of the digestive system,K928
"Disease of digestive system, unspecified",K929
Complications of artificial openings of the digestive system,K94
Colostomy complications,K940
Enterostomy complications,K941
Gastrostomy complications,K942
Esophagostomy complications,K943
Complications of bariatric procedures,K95
Complications of gastric band procedure,K950
Complications of other bariatric procedure,K958
Staphylococcal scalded skin syndrome,L00
Impetigo,L01
Impetigo,L010
Impetiginization of other dermatoses,L011
"Cutaneous abscess, furuncle and carbuncle",L02
"Cutaneous abscess, furuncle and carbuncle of face",L020
"Cutaneous abscess, furuncle and carbuncle of neck",L021
"Cutaneous abscess, furuncle and carbuncle of trunk",L022
Cutaneous abscess of trunk,L0221
Furuncle of trunk,L0222
Carbuncle of trunk,L0223
"Cutaneous abscess, furuncle and carbuncle of buttock",L023
"Cutaneous abscess, furuncle and carbuncle of limb",L024
Cutaneous abscess of limb,L0241
Furuncle of limb,L0242
Carbuncle of limb,L0243
"Cutaneous abscess, furuncle and carbuncle of hand",L025
Cutaneous abscess of hand,L0251
Furuncle hand,L0252
Carbuncle of hand,L0253
"Cutaneous abscess, furuncle and carbuncle of foot",L026
Cutaneous abscess of foot,L0261
Furuncle of foot,L0262
Carbuncle of foot,L0263
"Cutaneous abscess, furuncle and carbuncle of other sites",L028
Cutaneous abscess of other sites,L0281
Furuncle of other sites,L0282
Carbuncle of other sites,L0283
"Cutaneous abscess, furuncle and carbuncle, unspecified",L029
Cellulitis and acute lymphangitis,L03
Cellulitis and acute lymphangitis of finger and toe,L030
Cellulitis of finger,L0301
Acute lymphangitis of finger,L0302
Cellulitis of toe,L0303
Acute lymphangitis of toe,L0304
Cellulitis and acute lymphangitis of other parts of limb,L031
Cellulitis of other parts of limb,L0311
Acute lymphangitis of other parts of limb,L0312
Cellulitis and acute lymphangitis of face and neck,L032
Cellulitis and acute lymphangitis of face,L0321
Cellulitis and acute lymphangitis of neck,L0322
Cellulitis and acute lymphangitis of trunk,L033
Cellulitis of trunk,L0331
Acute lymphangitis of trunk,L0332
Cellulitis and acute lymphangitis of other sites,L038
Cellulitis of other sites,L0381
Acute lymphangitis of other sites,L0389
"Cellulitis and acute lymphangitis, unspecified",L039
Acute lymphadenitis,L04
Pilonidal cyst and sinus,L05
Pilonidal cyst and sinus with abscess,L050
Pilonidal cyst and sinus without abscess,L059
Other local infections of skin and subcutaneous tissue,L08
Other specified local infections of the skin and subcutaneous tissue,L088
"Local infection of the skin and subcutaneous tissue, unspecified",L089
Pemphigus,L10
Other pemphigus,L108
"Pemphigus, unspecified",L109
Other acantholytic disorders,L11
Pemphigoid,L12
Acquired epidermolysis bullosa,L123
Other pemphigoid,L128
"Pemphigoid, unspecified",L129
Other bullous disorders,L13
Bullous disorders in diseases classified elsewhere,L14
Atopic dermatitis,L20
Other atopic dermatitis,L208
"Atopic dermatitis, unspecified",L209
Seborrheic dermatitis,L21
Diaper dermatitis,L22
Allergic contact dermatitis,L23
Allergic contact dermatitis due to other agents,L238
"Allergic contact dermatitis, unspecified cause",L239
Irritant contact dermatitis,L24
Irritant contact dermatitis due to other agents,L248
"Irritant contact dermatitis, unspecified cause",L249
Unspecified contact dermatitis,L25
Exfoliative dermatitis,L26
Dermatitis due to substances taken internally,L27
Lichen simplex chronicus and prurigo,L28
Pruritus,L29
Other and unspecified dermatitis,L30
Psoriasis,L40
Arthropathic psoriasis,L405
Other psoriasis,L408
"Psoriasis, unspecified",L409
Parapsoriasis,L41
Pityriasis rosea,L42
Lichen planus,L43
Other papulosquamous disorders,L44
Papulosquamous disorders in diseases classified elsewhere,L45
Exfoliation due to erythematous conditions according to extent of body surface involved,L49
Urticaria,L50
Erythema multiforme,L51
Erythema nodosum,L52
Other erythematous conditions,L53
Erythema in diseases classified elsewhere,L54
Sunburn,L55
Other acute skin changes due to ultraviolet radiation,L56
Skin changes due to chronic exposure to nonionizing radiation,L57
Radiodermatitis,L58
Other disorders of skin and subcutaneous tissue related to radiation,L59
Nail disorders,L60
Nail disorders in diseases classified elsewhere,L62
Alopecia areata,L63
Androgenic alopecia,L64
Other nonscarring hair loss,L65
Cicatricial alopecia [scarring hair loss],L66
Hair color and hair shaft abnormalities,L67
Hypertrichosis,L68
Acne,L70
Rosacea,L71
Follicular cysts of skin and subcutaneous tissue,L72
Pilar and trichodermal cyst,L721
Steatocystoma multiplex,L722
Sebaceous cyst,L723
Other follicular cysts of the skin and subcutaneous tissue,L728
"Follicular cyst of the skin and subcutaneous tissue, unspecified",L729
Other follicular disorders,L73
Eccrine sweat disorders,L74
Focal hyperhidrosis,L745
Primary focal hyperhidrosis,L7451
Secondary focal hyperhidrosis,L7452
Other eccrine sweat disorders,L748
"Eccrine sweat disorder, unspecified",L749
Apocrine sweat disorders,L75
Intraoperative and postprocedural complications of skin and subcutaneous tissue,L76
Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a procedure,L760
Accidental puncture and laceration of skin and subcutaneous tissue during a procedure,L761
Postprocedural hemorrhage of skin and subcutaneous tissue following a procedure,L762
Postprocedural hematoma and seroma of skin and subcutaneous tissue following a procedure,L763
Other intraoperative and postprocedural complications of skin and subcutaneous tissue,L768
Vitiligo,L80
Other disorders of pigmentation,L81
Seborrheic keratosis,L82
Acanthosis nigricans,L83
Corns and callosities,L84
Other epidermal thickening,L85
Keratoderma in diseases classified elsewhere,L86
Transepidermal elimination disorders,L87
Pyoderma gangrenosum,L88
Pressure ulcer,L89
Pressure ulcer of elbow,L890
Pressure ulcer of unspecified elbow,L8900
Pressure ulcer of right elbow,L8901
Pressure ulcer of left elbow,L8902
Pressure ulcer of back,L891
Pressure ulcer of unspecified part of back,L8910
Pressure ulcer of right upper back,L8911
Pressure ulcer of left upper back,L8912
Pressure ulcer of right lower back,L8913
Pressure ulcer of left lower back,L8914
Pressure ulcer of sacral region,L8915
Pressure ulcer of hip,L892
Pressure ulcer of unspecified hip,L8920
Pressure ulcer of right hip,L8921
Pressure ulcer of left hip,L8922
Pressure ulcer of buttock,L893
Pressure ulcer of unspecified buttock,L8930
Pressure ulcer of right buttock,L8931
Pressure ulcer of left buttock,L8932
"Pressure ulcer of contiguous site of back, buttock and hip",L894
Pressure ulcer of ankle,L895
Pressure ulcer of unspecified ankle,L8950
Pressure ulcer of right ankle,L8951
Pressure ulcer of left ankle,L8952
Pressure ulcer of heel,L896
Pressure ulcer of unspecified heel,L8960
Pressure ulcer of right heel,L8961
Pressure ulcer of left heel,L8962
Pressure ulcer of other site,L898
Pressure ulcer of head,L8981
Pressure ulcer of other site,L8989
Pressure ulcer of unspecified site,L899
Atrophic disorders of skin,L90
Hypertrophic disorders of skin,L91
Granulomatous disorders of skin and subcutaneous tissue,L92
Lupus erythematosus,L93
Other localized connective tissue disorders,L94
"Vasculitis limited to skin, not elsewhere classified",L95
"Non-pressure chronic ulcer of lower limb, not elsewhere classified",L97
Non-pressure chronic ulcer of thigh,L971
Non-pressure chronic ulcer of unspecified thigh,L9710
Non-pressure chronic ulcer of right thigh,L9711
Non-pressure chronic ulcer of left thigh,L9712
Non-pressure chronic ulcer of calf,L972
Non-pressure chronic ulcer of unspecified calf,L9720
Non-pressure chronic ulcer of right calf,L9721
Non-pressure chronic ulcer of left calf,L9722
Non-pressure chronic ulcer of ankle,L973
Non-pressure chronic ulcer of unspecified ankle,L9730
Non-pressure chronic ulcer of right ankle,L9731
Non-pressure chronic ulcer of left ankle,L9732
Non-pressure chronic ulcer of heel and midfoot,L974
Non-pressure chronic ulcer of unspecified heel and midfoot,L9740
Non-pressure chronic ulcer of right heel and midfoot,L9741
Non-pressure chronic ulcer of left heel and midfoot,L9742
Non-pressure chronic ulcer of other part of foot,L975
Non-pressure chronic ulcer of other part of unspecified foot,L9750
Non-pressure chronic ulcer of other part of right foot,L9751
Non-pressure chronic ulcer of other part of left foot,L9752
Non-pressure chronic ulcer of other part of lower leg,L978
Non-pressure chronic ulcer of other part of unspecified lower leg,L9780
Non-pressure chronic ulcer of other part of right lower leg,L9781
Non-pressure chronic ulcer of other part of left lower leg,L9782
Non-pressure chronic ulcer of unspecified part of lower leg,L979
Non-pressure chronic ulcer of unspecified part of unspecified lower leg,L9790
Non-pressure chronic ulcer of unspecified part of right lower leg,L9791
Non-pressure chronic ulcer of unspecified part of left lower leg,L9792
"Other disorders of skin and subcutaneous tissue, not elsewhere classified",L98
"Non-pressure chronic ulcer of skin, not elsewhere classified",L984
Non-pressure chronic ulcer of buttock,L9841
Non-pressure chronic ulcer of back,L9842
Non-pressure chronic ulcer of skin of other sites,L9849
Mucinosis of the skin,L985
Other infiltrative disorders of the skin and subcutaneous tissue,L986
Excessive and redundant skin and subcutaneous tissue,L987
Other specified disorders of the skin and subcutaneous tissue,L988
"Disorder of the skin and subcutaneous tissue, unspecified",L989
Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,L99
Pyogenic arthritis,M00
Staphylococcal arthritis and polyarthritis,M000
"Staphylococcal arthritis, shoulder",M0001
"Staphylococcal arthritis, elbow",M0002
"Staphylococcal arthritis, wrist",M0003
"Staphylococcal arthritis, hand",M0004
"Staphylococcal arthritis, hip",M0005
"Staphylococcal arthritis, knee",M0006
"Staphylococcal arthritis, ankle and foot",M0007
"Staphylococcal arthritis, vertebrae",M0008
Staphylococcal polyarthritis,M0009
Pneumococcal arthritis and polyarthritis,M001
"Pneumococcal arthritis, shoulder",M0011
"Pneumococcal arthritis, elbow",M0012
"Pneumococcal arthritis, wrist",M0013
"Pneumococcal arthritis, hand",M0014
"Pneumococcal arthritis, hip",M0015
"Pneumococcal arthritis, knee",M0016
"Pneumococcal arthritis, ankle and foot",M0017
